instance;z_init;z_best_moyen;z_best;taille_liste_tabou;nb_diversifications_moyen;nb_intensifications_moyen
dat\didactic.dat;30.00;30.00;30.00;1;29;9
dat\pb_1000rnd0300.dat;507.00;586.33;591.00;15;29;9
dat\pb_1000rnd0700.dat;1993.00;2071.00;2074.00;74;29;9
dat\pb_100rnd0100.dat;342.00;365.33;372.00;12;29;9
dat\pb_100rnd0400.dat;13.00;14.33;15.00;6;29;9
dat\pb_100rnd0700.dat;460.00;497.33;500.00;17;29;9
dat\pb_2000rnd0800.dat;113.00;113.33;114.00;56;29;9
dat\pb_200rnd0100.dat;351.00;405.67;407.00;12;29;9
dat\pb_200rnd1300.dat;497.00;544.67;550.00;19;29;9
dat\pb_500rnd0400.dat;47.00;50.00;51.00;23;29;9
dat\pb_500rnd0900.dat;1990.00;2168.00;2170.00;72;29;9
dat\pb_500rnd1100.dat;344.00;402.33;403.00;12;29;9
dat\pb_500rnd1700.dat;150.00;165.67;170.00;4;29;9
